feature,kind,cardinality,description,fulldisplayname
wm_task_0bk_face_median_rt,timing,reg,Median Reaction Time across all correct trials in 0-back face condition,Working Memory Task Median Reaction Time for 0-back Face
wm_task_0bk_face_median_rt_nontarget,timing,reg,Median Reaction Time across correct nontarget trials in 0-back face condition,Working Memory Task Median Reaction Time for 0-back Face Nontargets
wm_task_0bk_face_median_rt_target,timing,reg,Median Reaction Time across correct target trials in 0-back face condition,Working Memory Task Median Reaction Time for 0-back Face Targets
wm_task_0bk_median_rt,timing,reg,Average of Median Reaction Time for all conditions in 0-back,Working Memory Task Median Reaction Time for 0-back
wm_task_0bk_place_acc,cognition,reg,Accuracy across all trials in 0-back place condition,Working Memory Task Accuracy for 0-back Place
wm_task_0bk_place_acc_nontarget,cognition,reg,Accuracy across nontarget trials in 0-back place condition,Working Memory Task Accuracy for 0-back Place Nontargets
wm_task_0bk_place_acc_target,cognition,reg,Accuracy across target trials in 0-back place condition,Working Memory Task Accuracy for 0-back Place Targets
wm_task_0bk_place_median_rt,timing,reg,Median Reaction Time across all correct trials in 0-back place condition,Working Memory Task Median Reaction Time for 0-back Place
wm_task_0bk_place_median_rt_nontarget,timing,reg,Median Reaction Time across correct nontarget trials in 0-back place condition,Working Memory Task Median Reaction Time for 0-back Place Nontargets
wm_task_0bk_place_median_rt_target,timing,reg,Median Reaction Time across correct target trials in 0-back place condition,Working Memory Task Median Reaction Time for 0-back Place Targets
wm_task_0bk_tool_acc,cognition,reg,Accuracy across all trials in 0-back tool condition,Working Memory Task Accuracy for 0-back Tool
wm_task_0bk_tool_acc_nontarget,cognition,reg,Accuracy across nontarget trials in 0-back tool condition,Working Memory Task Accuracy for 0-back Tool Nontargets
wm_task_0bk_tool_acc_target,cognition,reg,Accuracy across target trials in 0-back tool condition,Working Memory Task Accuracy for 0-back Tool Targets
wm_task_0bk_tool_median_rt,timing,reg,Median Reaction Time across all correct trials in 0-back tool condition,Working Memory Task Median Reaction Time for 0-back Tool
wm_task_0bk_tool_median_rt_nontarget,timing,reg,Median Reaction Time across correct nontarget trials in 0-back tool condition,Working Memory Task Median Reaction Time for 0-back Tool Nontargets
wm_task_0bk_tool_median_rt_target,timing,reg,Median Reaction Time across correct target trials in 0-back tool condition,Working Memory Task Median Reaction Time for 0-back Tool Targets
wm_task_2bk_acc,cognition,reg,Accuracy across all conditions in 2-back,Working Memory Task Accuracy for 2-back
wm_task_2bk_body_acc,cognition,reg,Accuracy across all trials in 2-back body condition,Working Memory Task Accuracy for 2-back Body
wm_task_2bk_body_acc_nontarget,cognition,reg,Accuracy across nontarget trials in 2-back body condition,Working Memory Task Accuracy for 2-back Body Nontargets
wm_task_2bk_body_acc_target,cognition,reg,Accuracy across target trials in 2-back body condition,Working Memory Task Accuracy for 2-back Body Targets
wm_task_2bk_body_median_rt,timing,reg,Median Reaction Time across all correct trials in 2-back body condition,Working Memory Task Median Reaction Time for 2-back Body
wm_task_2bk_body_median_rt_nontarget,timing,reg,Median Reaction Time across correct nontarget trials in 2-back body condition,Working Memory Task Median Reaction Time for 2-back Body Nontargets
wm_task_2bk_body_median_rt_target,timing,reg,Median Reaction Time across correct target trials in 2-back body condition,Working Memory Task Median Reaction Time for 2-back Body Targets
wm_task_2bk_face_acc,cognition,reg,Accuracy across all trials in 2-back face condition,Working Memory Task Accuracy for 2-back Face
wm_task_2bk_face_acc_nontarget,cognition,reg,Accuracy across nontarget trials in 2-back face condition,Working Memory Task Accuracy for 2-back Face Nontargets
wm_task_2bk_face_acc_target,cognition,reg,Accuracy across target trials in 2-back face condition,Working Memory Task Accuracy for 2-back Face Targets
wm_task_2bk_face_median_rt,timing,reg,Median Reaction Time across all correct trials in 2-back face condition,Working Memory Task Median Reaction Time for 2-back Face
wm_task_2bk_face_median_rt_nontarget,timing,reg,Median Reaction Time across correct nontarget trials in 2-back face condition,Working Memory Task Median Reaction Time for 2-back Face Nontargets
wm_task_2bk_face_median_rt_target,timing,reg,Median Reaction Time across correct target trials in 2-back face condition,Working Memory Task Median Reaction Time for 2-back Face Targets
wm_task_2bk_median_rt,timing,reg,Average of Median Reaction Time for all conditions in 2-back,Working Memory Task Median Reaction Time for 2-back
wm_task_2bk_place_acc,cognition,reg,Accuracy across all trials in 2-back place condition,Working Memory Task Accuracy for 2-back Place
wm_task_2bk_place_acc_nontarget,cognition,reg,Accuracy across nontarget trials in 2-back place condition,Working Memory Task Accuracy for 2-back Place Nontargets
wm_task_2bk_place_acc_target,cognition,reg,Accuracy across target trials in 2-back place condition,Working Memory Task Accuracy for 2-back Place Targets
wm_task_2bk_place_median_rt,timing,reg,Median Reaction Time across all correct trials in 2-back place condition,Working Memory Task Median Reaction Time for 2-back Place
wm_task_2bk_place_median_rt_nontarget,timing,reg,Median Reaction Time across correct nontarget trials in 2-back place condition,Working Memory Task Median Reaction Time for 2-back Place Nontargets
wm_task_2bk_place_median_rt_target,timing,reg,Median Reaction Time across correct target trials in 2-back place condition,Working Memory Task Median Reaction Time for 2-back Place Targets
wm_task_2bk_tool_acc,cognition,reg,Accuracy across all trials in 2-back tool condition,Working Memory Task Accuracy for 2-back Tool
wm_task_2bk_tool_acc_nontarget,cognition,reg,Accuracy across nontarget trials in 2-back tool condition,Working Memory Task Accuracy for 2-back Tool Nontargets
wm_task_2bk_tool_acc_target,cognition,reg,Accuracy across target trials in 2-back tool condition,Working Memory Task Accuracy for 2-back Tool Targets
wm_task_2bk_tool_median_rt,timing,reg,Median Reaction Time across all correct trials in 2-back tool condition,Working Memory Task Median Reaction Time for 2-back Tool
wm_task_2bk_tool_median_rt_nontarget,timing,reg,Median Reaction Time across correct nontarget trials in 2-back tool condition,Working Memory Task Median Reaction Time for 2-back Tool Nontargets
wm_task_2bk_tool_median_rt_target,timing,reg,Median Reaction Time across correct target trials in 2-back tool condition,Working Memory Task Median Reaction Time for 2-back Tool Targets
wm_task_acc,cognition,reg,Accuracy across all conditions in WM task,Working Memory Task Overall Accuracy
wm_task_median_rt,timing,reg,Average of Median Reaction Time for all conditions in WM task,Working Memory Task Overall Reaction Time
